block_id,block
1,026XX N MC VICKER AVE
2,036XX S RHODES AVE
3,062XX S ROCKWELL ST
4,006XX W 66TH ST
5,020XX N CALIFORNIA AVE
6,012XX S WASHTENAW AVE
7,094XX S THROOP ST
8,069XX S UNION AVE
9,078XX S JEFFERY BLVD
10,008XX W EASTWOOD AVE
11,018XX S ST LOUIS AVE
12,004XX E ONTARIO ST
13,001XX W GARFIELD BLVD
14,066XX S MAY ST
15,053XX W MONROE ST
16,008XX N AVERS AVE
17,046XX W FULTON ST
18,033XX N HALSTED ST
19,065XX S CALIFORNIA AVE
20,073XX S SACRAMENTO AVE
21,044XX W WEST END AVE
22,029XX N ELSTON AVE
23,057XX S THROOP ST
24,089XX S HOUSTON AVE
25,044XX W MADISON ST
26,022XX W CORTEZ ST
27,007XX S STATE ST
28,014XX W FULLERTON AVE
29,002XX W HURON ST
30,053XX W ADAMS ST
31,081XX S HALSTED ST
32,016XX E 50TH PL
33,050XX W WARWICK AVE
34,011XX N CLARK ST
35,066XX N SEELEY AVE
36,013XX W 76TH ST
37,067XX S NORMAL BLVD
38,016XX W BRYN MAWR AVE
39,064XX S SACRAMENTO AVE
40,030XX W 64TH ST
41,047XX N HARDING AVE
42,027XX W WELLINGTON AVE
43,035XX W 60TH PL
44,037XX S WOLCOTT AVE
45,037XX W LYNDALE ST
46,098XX S AVENUE H
47,014XX N MONITOR AVE
48,018XX N ROCKWELL ST
49,028XX W 84TH PL
50,072XX S EMERALD AVE
51,065XX W BYRON ST
52,111XX S PARNELL AVE
53,087XX S ESCANABA AVE
54,015XX N CAMPBELL AVE
55,006XX W GRACE ST
56,013XX W WASHBURNE AVE
57,039XX N CLARK ST
58,004XX N HAMLIN AVE
59,055XX S HOMAN AVE
60,090XX S OAKLEY AVE
61,027XX S EMERALD AVE
62,047XX S DAMEN AVE
63,040XX N HOYNE AVE
64,002XX W EVERGREEN AVE
65,015XX N LECLAIRE AVE
66,109XX S WENTWORTH AVE
67,063XX S PAULINA ST
68,034XX W 12TH PL
69,006XX W CORNELIA AVE
70,0000X N LOREL AVE
71,050XX W ARGYLE ST
72,013XX W 112TH PL
73,002XX E CHESTNUT ST
74,040XX W 26TH ST
75,050XX S LAKE SHORE DR W
76,088XX S MARSHFIELD AVE
77,063XX W 63RD ST
78,072XX S CARPENTER ST
79,057XX N WEST CIRCLE AVE
80,003XX N MENARD AVE
81,091XX S RACINE AVE
82,008XX S INDEPENDENCE BLVD
83,055XX S COTTAGE GROVE AVE
84,109XX S BUFFALO AVE
85,073XX S BELL AVE
86,056XX S MOZART ST
87,073XX N ORIOLE AVE
88,030XX N LUNA AVE
89,015XX S KEELER AVE
90,033XX N KEDZIE AVE
91,021XX S CENTRAL PARK AVE
92,057XX S CALIFORNIA AVE
93,092XX S DREXEL AVE
94,010XX W CATALPA AVE
95,042XX W WASHINGTON BLVD
96,021XX N LATROBE AVE
97,085XX S KINGSTON AVE
98,033XX W 38TH PL
99,036XX W POLK ST
100,032XX W 114TH ST
101,013XX W TOUHY AVE
102,004XX E 111TH PL
103,048XX W FLETCHER ST
104,059XX W WEST END AVE
105,013XX N MASON AVE
106,087XX S EXCHANGE AVE
107,042XX S RICHMOND ST
108,027XX W 16TH ST
109,017XX W GARFIELD BLVD
110,119XX S PERRY AVE
111,080XX S MOZART ST
112,080XX S HONORE ST
113,016XX S AVERS AVE
114,074XX S KENWOOD AVE
115,012XX S AVERS AVE
116,060XX S NASHVILLE AVE
117,042XX N SAWYER AVE
118,023XX W 22ND PL
119,049XX S RACINE AVE
120,079XX S EXCHANGE AVE
121,069XX S EGGLESTON AVE
122,030XX N KOSTNER AVE
123,078XX S ESCANABA AVE
124,053XX S HONORE ST
125,121XX S WALLACE ST
126,001XX W 104TH ST
127,107XX S DREW ST
128,034XX N CLARK ST
129,024XX S SPAULDING AVE
130,006XX N LONG AVE
131,133XX S AVENUE N
132,045XX S RICHMOND ST
133,009XX N HOMAN AVE
134,022XX N CLARK ST
135,006XX W WAYMAN ST
136,024XX E 99TH ST
137,134XX S AVENUE M
138,004XX N NOBLE ST
139,008XX E 88TH ST
140,080XX S WOODLAWN AVE
141,079XX S LAFAYETTE AVE
142,009XX W MONROE ST
143,063XX S CHAMPLAIN AVE
144,057XX S MAY ST
